name,link,sub,memory_load,day,annotation_file_name,annotation_file_link
suj28_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l2nap_day1.eeg,28,2,1,suj28_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf76c613b01fb7f10b1
suj28_l2nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l2nap_day1.vmrk,28,2,1,suj28_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf76c613b01fb7f10b1
suj28_l2nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l2nap_day1.vhdr,28,2,1,suj28_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf76c613b01fb7f10b1
suj28_l5nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l5nap_day2.eeg,28,5,2,suj28_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf99ad5a101f912a66a
suj28_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l5nap_day2.vmrk,28,5,2,suj28_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf99ad5a101f912a66a
suj28_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj28_l5nap_day2.vhdr,28,5,2,suj28_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcf99ad5a101f912a66a
suj29_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj29_l5nap_day1.eeg,29,5,1,suj29_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcfd6c613b01f97f10a9
suj29_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj29_l5nap_day1.vmrk,29,5,1,suj29_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcfd6c613b01f97f10a9
suj29_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj29_l5nap_day1.vhdr,29,5,1,suj29_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcfd6c613b01f97f10a9
suj29_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj29_l2nap_day2.eeg,29,2,2,suj29_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcfe9ad5a101fd12a665
suj29_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj29_l2nap_day2.vmrk,29,2,2,suj29_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcfe9ad5a101fd12a665
